mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,google/gemma-2-2b-it,all,0.4070450097847358,0.4059470517371344,0.4070450097847358,0.4036253978553744,1487.9761099815369,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_001/data-all__google_gemma-2-2b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-2-2b-it,all,0.5107632093933464,0.5116944501591698,0.5107632093933464,0.5052081195155436,1491.4321908950806,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_002/data-all__google_gemma-2-2b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-2-2b-it,all,0.512720156555773,0.511811656163452,0.512720156555773,0.5092559166246046,1485.3742430210114,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_003/data-all__google_gemma-2-2b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-2-2b-it,all,0.4383561643835616,0.4427897896465085,0.4383561643835616,0.4310153307301097,1491.9791610240936,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_004/data-all__google_gemma-2-2b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-2-2b-it,all,0.4833659491193737,0.4960276396375087,0.4833659491193737,0.4808872826984338,1490.91437125206,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-2-2b-it_20260410-053149/run_005/data-all__google_gemma-2-2b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
