mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,meta-llama/Llama-3.2-3B-Instruct,climate,0.2037914691943128,0.2009062046793931,0.2037914691943128,0.1335530307753482,451.58931159973145,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_001/data-climate__meta-llama_Llama-3.2-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,meta-llama/Llama-3.2-3B-Instruct,climate,0.2132701421800948,0.1296350853222891,0.2132701421800948,0.1246211512332974,452.2627213001251,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_002/data-climate__meta-llama_Llama-3.2-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,meta-llama/Llama-3.2-3B-Instruct,climate,0.2085308056872037,0.1441437367651507,0.2085308056872037,0.138558019520274,456.0825440883637,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_003/data-climate__meta-llama_Llama-3.2-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,meta-llama/Llama-3.2-3B-Instruct,climate,0.2274881516587677,0.1307403170452688,0.2274881516587677,0.1183225662558123,454.00018978118896,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_004/data-climate__meta-llama_Llama-3.2-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,meta-llama/Llama-3.2-3B-Instruct,climate,0.2132701421800948,0.089033456641122,0.2132701421800948,0.1124344513428649,455.99818873405457,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_meta-llama_Llama-3.2-3B-Instruct_20260412-030014/run_005/data-climate__meta-llama_Llama-3.2-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
