mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,Qwen/Qwen2.5-3B-Instruct,climate,0.2132701421800948,0.0457007447528774,0.2132701421800948,0.0752718148870922,591.5209136009216,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_001/data-climate__Qwen_Qwen2.5-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,Qwen/Qwen2.5-3B-Instruct,climate,0.1943127962085308,0.0547294386156945,0.1943127962085308,0.0802961919132163,584.6684801578522,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_002/data-climate__Qwen_Qwen2.5-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,Qwen/Qwen2.5-3B-Instruct,climate,0.2132701421800948,0.0725447956002737,0.2132701421800948,0.0952510971424471,589.2114737033844,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_003/data-climate__Qwen_Qwen2.5-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,Qwen/Qwen2.5-3B-Instruct,climate,0.1895734597156398,0.0563454449710373,0.1895734597156398,0.076354096140826,589.9625790119171,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_004/data-climate__Qwen_Qwen2.5-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,Qwen/Qwen2.5-3B-Instruct,climate,0.2227488151658767,0.0996433766599408,0.2227488151658767,0.0935865456568874,589.1666762828827,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-3B-Instruct_20260412-061337/run_005/data-climate__Qwen_Qwen2.5-3B-Instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
