mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,google/gemma-7b-it,all,0.3972602739726027,0.403521565755864,0.3972602739726027,0.3901287746197904,1909.218834400177,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_001/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.4500978473581213,0.4628176920467314,0.4500978473581213,0.4457328728411271,1906.9803564548488,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_002/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.4637964774951076,0.4694290489109282,0.4637964774951076,0.4576428606723045,1907.0380556583405,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_003/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.3796477495107632,0.3794629324941551,0.3796477495107632,0.3681330580017622,1905.393098115921,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_004/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.3385518590998043,0.349204847868056,0.3385518590998043,0.3312413851572912,1908.4827618598936,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-024854/run_005/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
