mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,microsoft/Phi-3-mini-4k-instruct,all,0.461839530332681,0.4651313862974972,0.461839530332681,0.4530222425029594,1148.698220729828,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_001/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,microsoft/Phi-3-mini-4k-instruct,all,0.5244618395303327,0.5319696220130388,0.5244618395303327,0.5222073285241233,1128.1258058547974,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_002/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,microsoft/Phi-3-mini-4k-instruct,all,0.5283757338551859,0.5240894498306364,0.5283757338551859,0.5211831064244327,1150.9594535827637,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_003/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,microsoft/Phi-3-mini-4k-instruct,all,0.5322896281800391,0.5276558272197591,0.5322896281800391,0.5229065329771404,1148.3417847156525,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_004/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,microsoft/Phi-3-mini-4k-instruct,all,0.5264187866927593,0.531837309489329,0.5264187866927593,0.5241218792301624,1150.8226263523102,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_microsoft_Phi-3-mini-4k-instruct_20260411-015947/run_005/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
