ti_mode,few_shot_mode,model,dataset,num_shots,prompt_style,accuracy,precision,recall,f1,time_s,run_index,run_name,run_dir,metrics_path
counterfactual,train,microsoft/Phi-3-mini-4k-instruct,all,3,minimal,0.2387475538160469,0.2404514939576786,0.2387475538160469,0.2310557116000666,1101.77,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_001,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_001/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,microsoft/Phi-3-mini-4k-instruct,all,3,minimal,0.2915851272015655,0.277010693529947,0.2915851272015655,0.2750492734010525,1078.94,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_002,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_002/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,microsoft/Phi-3-mini-4k-instruct,all,3,minimal,0.4168297455968688,0.4181595139175989,0.4168297455968688,0.4098332567167143,1090.52,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_003,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_003/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,microsoft/Phi-3-mini-4k-instruct,all,3,minimal,0.3698630136986301,0.3475596795470218,0.3698630136986301,0.3506354200949457,1087.96,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_004,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_004/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,microsoft/Phi-3-mini-4k-instruct,all,3,minimal,0.4050880626223092,0.3941715907293849,0.4050880626223092,0.3964531317471829,1090.27,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_005,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3-mini-4k-instruct_train_counterfactual_20260415-230549/run_005/data-all__microsoft_Phi-3-mini-4k-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
