mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,google/gemma-7b-it,all,0.3874755381604696,0.3929564858209479,0.3874755381604696,0.3807732263516658,1906.777036190033,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_001/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.4461839530332681,0.4539323532623394,0.4461839530332681,0.4410083729618709,1907.570724248886,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_002/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.4598825831702544,0.4674915859046102,0.4598825831702544,0.4560349713142644,1908.6003534793851,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_003/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.3757338551859099,0.3778764993492974,0.3757338551859099,0.364229161822508,1908.7393972873688,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_004/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
few-shot,google/gemma-7b-it,all,0.350293542074364,0.3655084000534438,0.350293542074364,0.3447429936058788,1909.3352677822115,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_google_gemma-7b-it_20260410-211413/run_005/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true/metrics.csv
