mode,model,dataset,accuracy,precision,recall,f1,train_time_s,run_index,run_name,run_dir,metrics_path
few-shot,Qwen/Qwen2.5-1.5B-Instruct,climate,0.2322274881516587,0.2166517336103159,0.2322274881516587,0.2174332071775982,937.7082171440125,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_001,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_001/data-climate__Qwen_Qwen2.5-1.5B-Instruct__ep5_bs1_lr2e-05_ml512__few-shot__fsmode-train_shots-3_pb-512_pstyle-minimal_div-false__parity-true__quant-false__lora-false/metrics.csv
few-shot,Qwen/Qwen2.5-1.5B-Instruct,climate,0.2227488151658767,0.2523618510772414,0.2227488151658767,0.2314558990539576,947.7377119064332,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_002,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_002/data-climate__Qwen_Qwen2.5-1.5B-Instruct__ep5_bs1_lr2e-05_ml512__few-shot__fsmode-train_shots-3_pb-512_pstyle-minimal_div-false__parity-true__quant-false__lora-false/metrics.csv
few-shot,Qwen/Qwen2.5-1.5B-Instruct,climate,0.2369668246445497,0.2552455454585987,0.2369668246445497,0.2390421200083331,948.7235350608826,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_003,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_003/data-climate__Qwen_Qwen2.5-1.5B-Instruct__ep5_bs1_lr2e-05_ml512__few-shot__fsmode-train_shots-3_pb-512_pstyle-minimal_div-false__parity-true__quant-false__lora-false/metrics.csv
few-shot,Qwen/Qwen2.5-1.5B-Instruct,climate,0.2938388625592417,0.2894954256750509,0.2938388625592417,0.2835035767260186,948.5765600204468,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_004,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_004/data-climate__Qwen_Qwen2.5-1.5B-Instruct__ep5_bs1_lr2e-05_ml512__few-shot__fsmode-train_shots-3_pb-512_pstyle-minimal_div-false__parity-true__quant-false__lora-false/metrics.csv
few-shot,Qwen/Qwen2.5-1.5B-Instruct,climate,0.2654028436018957,0.2955540357833697,0.2654028436018957,0.2704995027251008,948.1477427482604,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_005,/home/CAMPUS/zscavott/cs584_project/Results/batch_runs/paper_Qwen_Qwen2.5-1.5B-Instruct_20260412-070406/run_005/data-climate__Qwen_Qwen2.5-1.5B-Instruct__ep5_bs1_lr2e-05_ml512__few-shot__fsmode-train_shots-3_pb-512_pstyle-minimal_div-false__parity-true__quant-false__lora-false/metrics.csv
