ti_mode,few_shot_mode,model,dataset,num_shots,prompt_style,accuracy,precision,recall,f1,time_s,run_index,run_name,run_dir,metrics_path
counterfactual,train,google/gemma-7b-it,all,3,minimal,0.4559686888454011,0.4708046356408918,0.4559686888454011,0.4551128951270948,3337.41,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_001,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_001/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,google/gemma-7b-it,all,3,minimal,0.4794520547945205,0.4821294640786409,0.4794520547945205,0.477015624328775,1834.4,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_002,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_002/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,google/gemma-7b-it,all,3,minimal,0.4070450097847358,0.4217062402205275,0.4070450097847358,0.4067988571093546,3838.64,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_003,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_003/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,google/gemma-7b-it,all,3,minimal,0.350293542074364,0.3518410283844905,0.350293542074364,0.3347508729721065,4639.53,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_004,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_004/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
counterfactual,train,google/gemma-7b-it,all,3,minimal,0.2837573385518591,0.2690838833239579,0.2837573385518591,0.2699648674431751,4120.3,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_005,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_google_gemma-7b-it_train_counterfactual_20260416-043950/run_005/data-all__google_gemma-7b-it__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-counterfactual/metrics.csv
