ti_mode,few_shot_mode,model,dataset,num_shots,prompt_style,accuracy,precision,recall,f1,time_s,run_index,run_name,run_dir,metrics_path
label_first,train,microsoft/Phi-3.5-mini-instruct,edu,3,minimal,0.3633333333333333,0.3491307194088281,0.3633333333333333,0.3429061637895392,776.69,1,run_001,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_001,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_001/data-edu__microsoft_Phi-3.5-mini-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-label_first/metrics.csv
label_first,train,microsoft/Phi-3.5-mini-instruct,edu,3,minimal,0.61,0.6014887359015219,0.61,0.602337572393809,744.61,2,run_002,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_002,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_002/data-edu__microsoft_Phi-3.5-mini-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-label_first/metrics.csv
label_first,train,microsoft/Phi-3.5-mini-instruct,edu,3,minimal,0.4233333333333333,0.3940549767044864,0.4233333333333333,0.3958733424073311,736.78,3,run_003,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_003,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_003/data-edu__microsoft_Phi-3.5-mini-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-label_first/metrics.csv
label_first,train,microsoft/Phi-3.5-mini-instruct,edu,3,minimal,0.66,0.658725234943401,0.66,0.6520306248653581,770.21,4,run_004,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_004,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_004/data-edu__microsoft_Phi-3.5-mini-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-label_first/metrics.csv
label_first,train,microsoft/Phi-3.5-mini-instruct,edu,3,minimal,0.6066666666666667,0.6048439428204855,0.6066666666666667,0.5961583447179155,767.85,5,run_005,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_005,/home/CAMPUS/zscavott/cs584_project/Results_TI/batch_runs/ti_microsoft_Phi-3.5-mini-instruct_train_label_first_20260418-033837/run_005/data-edu__microsoft_Phi-3.5-mini-instruct__ep5_bs1_lr2e-05_ml192__few-shot__fsmode-train_shots-3_pb-192_pstyle-minimal_div-false__parity-false__quant-true__lora-true__ti-label_first/metrics.csv
